Year,Neighborhood Tabulation Area NTA),Neighborhood Tabulation Area (NTA) Name,Supply Gap (lbs.),Food Insecure Percentage,Unemployment Rate,Vulnerable Population Percentage,Weighted Score,Rank,Borough
2024,BK1103,Gravesend (West),1220817.80751198,0.16,0.09,0.22,5.80879411864089,46.0,Brooklyn
2024,QN0706,Queensboro Hill,1220918.51175563,0.31,0.05,0.28,5.17699579448547,94.0,Queens
2024,BK1204,Mapleton-Midwood (West),1248580.77443324,0.26,0.05,0.14,5.92780972651823,37.0,Brooklyn
2024,BX0402,Highbridge,1264154.88001892,0.32,0.1,0.15,6.34526094135109,22.0,Bronx
2024,BK1002,Dyker Heights,1283234.93418472,0.2,0.07,0.21,5.47558276277779,67.0,Brooklyn
2024,BX1002,Throgs Neck-Schuylerville,1298931.2635663,0.15,0.07,0.09,5.53969058426951,64.0,Bronx
2024,BK0102,Williamsburg,1320190.80395303,0.16,0.06,0.13,6.01022316126955,33.0,Brooklyn
2024,MN0701,Upper West Side-Lincoln Square,1357317.2547889,0.13,0.06,0.14,5.8891442734626,40.0,Manhattan
2024,QN0701,College Point,1360272.05562476,0.21,0.09,0.19,5.80069034229219,49.0,Queens
2024,QN0502,Ridgewood,1390109.37141242,0.13,0.07,0.2,6.08789584435742,29.0,Queens
2024,SI0204,New Springville-Willowbrook-Bulls Head-Travis,1414969.7643467,0.16,0.05,0.11,5.73802773766218,53.0,Staten Island
2024,BK1501,Gravesend (East)-Homecrest,1452767.06297198,0.17,0.07,0.17,5.76856123003565,50.0,Brooklyn
2024,BK1202,Borough Park,1459438.19101065,0.2,0.08,0.12,6.04756212994678,31.0,Brooklyn
2024,MN1101,East Harlem (South),1513604.58262396,0.22,0.09,0.13,6.76359147093251,11.0,Manhattan
2024,BK1302,Coney Island-Sea Gate,1557567.09885794,0.24,0.1,0.13,6.68704719371516,12.0,Brooklyn
2024,BX0803,Riverdale-Spuyten Duyvil,1574077.13381325,0.16,0.06,0.11,5.6161677065993,58.0,Bronx
2024,QN0101,Astoria (North)-Ditmars-Steinway,1722493.81581697,0.17,0.08,0.13,5.90480934007626,39.0,Queens
2024,MN1201,Washington Heights (South),1801855.26667833,0.2,0.14,0.19,7.09485297019298,6.0,Manhattan
2024,BK1101,Bensonhurst,1803810.19736969,0.16,0.08,0.25,6.35003817371618,20.0,Brooklyn
2024,BK0702,Sunset Park (West),1805330.2758551,0.21,0.06,0.21,6.55678799332473,16.0,Brooklyn
2024,QN0401,Elmhurst,1836053.18590935,0.14,0.05,0.32,6.29415384924758,25.0,Queens
2024,QN0301,Jackson Heights,2070961.68957603,0.15,0.09,0.26,6.63727313312303,13.0,Queens
2024,BK1503,Sheepshead Bay-Manhattan Beach-Gerritsen Beach,2252129.1983477,0.19,0.05,0.16,6.93044840353943,7.0,Brooklyn
2024,BX0901,Soundview-Bruckner-Bronx River,2383876.57089609,0.23,0.1,0.21,7.53505648535057,3.0,Bronx
2024,MN1202,Washington Heights (North),2421491.35909758,0.24,0.12,0.19,7.39217323713678,4.0,Manhattan
2024,BK1001,Bay Ridge,2474510.87334349,0.17,0.06,0.14,6.52985614337938,17.0,Brooklyn
2024,BX0501,University Heights (South)-Morris Heights,2477025.52998904,0.29,0.12,0.2,7.97421251144482,2.0,Bronx
2024,BK0104,East Williamsburg,3662415.68523959,0.35,0.06,0.12,8.28261390474052,1.0,Brooklyn
